,Scenario,Year,Income Group,Groups,PM2.5 Exposure,NOx Exposure,SO2 Exposure
3,A: Base,2026,>$150k,Latinx/Hispanic,0.8408365698613125,1.007046295441698,0.4706897016097142
4,A: Base,2026,>$150k,Indigenous,0.9313891347865634,0.9612545288418053,0.5361469149269972
5,A: Base,2026,>$150k,Non-Latinx White,0.9453793738820286,1.1451437154042474,0.5319852287579356
0,A: Base,2030,<$25k,Total,1.0104362619607048,1.0258129191793341,0.8315650383732189
1,A: Base,2030,<$25k,Black,1.193802724951296,1.240470790929312,0.9613272808048804
2,A: Base,2030,<$25k,Asian,0.76701077840838,0.8410369873725889,0.6391863980158455
3,A: Base,2030,<$25k,Latinx/Hispanic,0.6192563086911751,0.774663190206499,0.5059957386657254
4,A: Base,2030,<$25k,Indigenous,0.5525869092932368,0.6031871638239348,0.6615042473168199
5,A: Base,2030,<$25k,Non-Latinx White,1.0202445283341,0.9597431183338261,0.8506021979960647
0,A: Base,2030,$25k-$50k,Total,0.9674400797798977,0.8640389749315561,0.7325049668536605
1,A: Base,2030,$25k-$50k,Black,1.178095703322833,1.1382270205278495,0.811648392784915
2,A: Base,2030,$25k-$50k,Asian,0.6741055330914937,0.7575158036949233,0.4871004887089333
3,A: Base,2030,$25k-$50k,Latinx/Hispanic,0.603502217867589,0.638323523188524,0.473092653694385
4,A: Base,2030,$25k-$50k,Indigenous,0.6627230421102612,0.5446987378436814,0.4662272614273783
5,A: Base,2030,$25k-$50k,Non-Latinx White,1.0582455686119674,0.9034259396616245,0.8219772847009608
0,A: Base,2030,$50k-$75k,Total,0.8558841032180687,0.8172787853785259,0.6733530157361228
1,A: Base,2030,$50k-$75k,Black,1.1326739657467597,1.1205268429122472,0.7025840030658763
2,A: Base,2030,$50k-$75k,Asian,0.615097054560665,0.6974599904282033,0.42220951753703634
3,A: Base,2030,$50k-$75k,Latinx/Hispanic,0.5730095170221244,0.6096986700326029,0.4075038816366972
4,A: Base,2030,$50k-$75k,Indigenous,0.6263226059868993,0.5621483221858725,0.45696824803722785
5,A: Base,2030,$50k-$75k,Non-Latinx White,0.9674933431874945,0.9078130588552396,0.7915120863767254
0,A: Base,2030,$75k-$100k,Total,0.7345981745567812,0.7854920054888532,0.544079194896204
1,A: Base,2030,$75k-$100k,Black,1.0864845626962527,1.1358887310199284,0.6010930700940247
2,A: Base,2030,$75k-$100k,Asian,0.5840394756538329,0.668883949436027,0.37194674735630723
3,A: Base,2030,$75k-$100k,Latinx/Hispanic,0.5780544036285766,0.6488259286522432,0.3828722675516996
4,A: Base,2030,$75k-$100k,Indigenous,0.5597258874028138,0.5539746361778073,0.404630334901516
5,A: Base,2030,$75k-$100k,Non-Latinx White,0.851520993600391,0.9072987824091243,0.6571664142750324
0,A: Base,2030,$100k-$125k,Total,0.7306500465697012,0.8314270966559406,0.48151495669803096
1,A: Base,2030,$100k-$125k,Black,1.142731456064042,1.2256988773915927,0.6024329123668511
2,A: Base,2030,$100k-$125k,Asian,0.6344364249602488,0.7299799302176613,0.3681115112993979
3,A: Base,2030,$100k-$125k,Latinx/Hispanic,0.6433266792472244,0.7396946370275339,0.3918477368298192
4,A: Base,2030,$100k-$125k,Indigenous,0.6821654465602676,0.7026000483773697,0.4493690465056215
5,A: Base,2030,$100k-$125k,Non-Latinx White,0.8425267267916754,0.9636178400874816,0.57397440297271
0,A: Base,2030,$125k-$150k,Total,0.8124014783320334,0.9032618348844326,0.4932103523667177
1,A: Base,2030,$125k-$150k,Black,1.274870561007181,1.3238789076223632,0.6193635087392738
2,A: Base,2030,$125k-$150k,Asian,0.7716416473509131,0.8465228695022976,0.43011096095489065
3,A: Base,2030,$125k-$150k,Latinx/Hispanic,0.8116105987952772,0.8903080155034166,0.47910123094546314
4,A: Base,2030,$125k-$150k,Indigenous,0.8360689933360277,0.8362491086351305,0.5166503898435357
5,A: Base,2030,$125k-$150k,Non-Latinx White,0.9393564391725374,1.0528102386217217,0.5863141498850084
0,A: Base,2030,>$150k,Total,0.8107542133837868,0.9731391934262297,0.4454069896933284
1,A: Base,2030,>$150k,Black,1.186756219563267,1.3490834430242833,0.6465713148906028
2,A: Base,2030,>$150k,Asian,0.7257596142227793,0.8383975779311447,0.3677366530875277
3,A: Base,2030,>$150k,Latinx/Hispanic,0.8053072026567748,0.9630196805508469,0.4433325169836921
4,A: Base,2030,>$150k,Indigenous,0.8928699266899551,0.9193802342997002,0.5082207941239113
5,A: Base,2030,>$150k,Non-Latinx White,0.9072924509145857,1.0988448246183558,0.5055010965466045
0,A: Base,2035,<$25k,Total,0.9789435159015534,0.9905319033129895,0.8030250332787752
1,A: Base,2035,<$25k,Black,1.1707910277068938,1.2085717561708995,0.9424141505059005
2,A: Base,2035,<$25k,Asian,0.7286810238418716,0.8034764635429273,0.6063641567618452
3,A: Base,2035,<$25k,Latinx/Hispanic,0.5725040908724284,0.7254694746954724,0.4502753761145543
4,A: Base,2035,<$25k,Indigenous,0.5169147369446297,0.5651003232511898,0.6057007143513539
5,A: Base,2035,<$25k,Non-Latinx White,0.9828171243302621,0.9227449904299471,0.8186011641370159
0,A: Base,2035,$25k-$50k,Total,0.9367383598702669,0.8344611497001918,0.7097676828368256
1,A: Base,2035,$25k-$50k,Black,1.1562268475796933,1.1086632109924464,0.7948743206246153
2,A: Base,2035,$25k-$50k,Asian,0.6434362521905427,0.726935021351701,0.4608826490476375
3,A: Base,2035,$25k-$50k,Latinx/Hispanic,0.5603457398412133,0.6002126490611757,0.4292314244713516
4,A: Base,2035,$25k-$50k,Indigenous,0.6129470583035448,0.5076774769676353,0.43003822676821774
5,A: Base,2035,$25k-$50k,Non-Latinx White,1.0252466309703416,0.8729111270300998,0.7991632744820981
0,A: Base,2035,$50k-$75k,Total,0.8238308806585064,0.7871804838397198,0.6500067955177947
1,A: Base,2035,$50k-$75k,Black,1.1041933660293273,1.087024936441698,0.6845588226488603
2,A: Base,2035,$50k-$75k,Asian,0.5846651113272473,0.668933311421949,0.398317591593455
3,A: Base,2035,$50k-$75k,Latinx/Hispanic,0.5340795119695889,0.5779615543757276,0.3734301855140028
4,A: Base,2035,$50k-$75k,Indigenous,0.5780407168277997,0.5261477366942967,0.42378461598846445
5,A: Base,2035,$50k-$75k,Non-Latinx White,0.9317638826994865,0.8744708804724578,0.7655583587531481
0,A: Base,2035,$75k-$100k,Total,0.7017385245513267,0.7538000317235739,0.5205198813200027
1,A: Base,2035,$75k-$100k,Black,1.0484942141957625,1.0957889768170102,0.5825148586283618
2,A: Base,2035,$75k-$100k,Asian,0.5540914970040848,0.6417072188622913,0.34990037360756604
3,A: Base,2035,$75k-$100k,Latinx/Hispanic,0.5394579110070188,0.616146663400208,0.35023135083055906
4,A: Base,2035,$75k-$100k,Indigenous,0.5193958077091299,0.5222682622782229,0.37538861153633435
5,A: Base,2035,$75k-$100k,Non-Latinx White,0.8136842527106483,0.8705428422326559,0.6295205629299879
0,A: Base,2035,$100k-$125k,Total,0.6941976803441233,0.7958675970678362,0.45663256302583666
1,A: Base,2035,$100k-$125k,Black,1.0965238064500171,1.1772741256193318,0.5784651182124109
2,A: Base,2035,$100k-$125k,Asian,0.6005512727179264,0.6992005218307371,0.34425331974584567
3,A: Base,2035,$100k-$125k,Latinx/Hispanic,0.5997236604345985,0.7011249722804095,0.3544402872214154
4,A: Base,2035,$100k-$125k,Indigenous,0.6335925896793876,0.6631456635090438,0.4139314469659345
5,A: Base,2035,$100k-$125k,Non-Latinx White,0.8004109030291824,0.9222327694220265,0.5449885150418
0,A: Base,2035,$125k-$150k,Total,0.7704787141153315,0.8624568828907523,0.4639865520409389
1,A: Base,2035,$125k-$150k,Black,1.2314916173498995,1.2764641618190797,0.6040261962132975
2,A: Base,2035,$125k-$150k,Asian,0.7269902179458619,0.8059260155381307,0.3964275106284847
3,A: Base,2035,$125k-$150k,Latinx/Hispanic,0.7551194977681652,0.8394231729781083,0.4297461131815989
4,A: Base,2035,$125k-$150k,Indigenous,0.7756561824490807,0.7859895192962807,0.47263320480576715
5,A: Base,2035,$125k-$150k,Non-Latinx White,0.8905308064920312,1.004999024185661,0.551918620447984
0,A: Base,2035,>$150k,Total,0.7652475139849708,0.9250238378259708,0.4113371369229988
1,A: Base,2035,>$150k,Black,1.137564737426533,1.2875022297605276,0.6036298984954133
2,A: Base,2035,>$150k,Asian,0.682761680443674,0.7967810423012234,0.3350142031886714
3,A: Base,2035,>$150k,Latinx/Hispanic,0.7545529624424956,0.9096172472674614,0.39706782719459843
4,A: Base,2035,>$150k,Indigenous,0.8229992313558444,0.857719751979551,0.4563906468535236
5,A: Base,2035,>$150k,Non-Latinx White,0.8560780690488498,1.0442941481411823,0.4673526746829769
0,A: Base,2040,<$25k,Total,0.8600509170801747,0.8819323358854195,0.7096439835604375
1,A: Base,2040,<$25k,Black,1.0274620548790205,1.0753481019718645,0.8332686233284711
2,A: Base,2040,<$25k,Asian,0.6389631456980353,0.7147415138279928,0.5297289469014451
3,A: Base,2040,<$25k,Latinx/Hispanic,0.49795497577350323,0.6412835857303145,0.3751789962691028
4,A: Base,2040,<$25k,Indigenous,0.4501917657297388,0.5082524793264361,0.5576860195960625
5,A: Base,2040,<$25k,Non-Latinx White,0.8653286021434736,0.8226344403815108,0.7273070634698167
0,A: Base,2040,$25k-$50k,Total,0.8157979047642576,0.7370701674707111,0.6207289293462048
1,A: Base,2040,$25k-$50k,Black,0.9972915901469273,0.9734712049780283,0.6829563208637421
2,A: Base,2040,$25k-$50k,Asian,0.5605207121802598,0.6444906063895733,0.39371680420327737
3,A: Base,2040,$25k-$50k,Latinx/Hispanic,0.48066298872749075,0.5243596152081387,0.35735891782170415
4,A: Base,2040,$25k-$50k,Indigenous,0.5214265409366884,0.4412043904408513,0.3710698695124963
5,A: Base,2040,$25k-$50k,Non-Latinx White,0.8963820075793093,0.7732037776148853,0.7046434991976125
0,A: Base,2040,$50k-$75k,Total,0.7235767652102232,0.7002547547866157,0.5756997224327568
1,A: Base,2040,$50k-$75k,Black,0.9511484535440942,0.952954010591157,0.5793751235616538
2,A: Base,2040,$50k-$75k,Asian,0.5103753554423963,0.5935857032761969,0.34150429579901836
3,A: Base,2040,$50k-$75k,Latinx/Hispanic,0.45803618130119733,0.5059256120402226,0.3105530878164522
4,A: Base,2040,$50k-$75k,Indigenous,0.4979395350010366,0.4607066519801386,0.36661108205308685
5,A: Base,2040,$50k-$75k,Non-Latinx White,0.8216349625422937,0.7803260761976132,0.6834032080387781
0,A: Base,2040,$75k-$100k,Total,0.6161420094153395,0.6706281119523744,0.45633269922012765
1,A: Base,2040,$75k-$100k,Black,0.9053966720763494,0.9623587710556268,0.48666093486178086
2,A: Base,2040,$75k-$100k,Asian,0.48352893601843144,0.5685793172577422,0.29730711755302136
3,A: Base,2040,$75k-$100k,Latinx/Hispanic,0.46383237431448315,0.5407074857964242,0.2887132704654969
4,A: Base,2040,$75k-$100k,Indigenous,0.4484662556114663,0.45820325103129445,0.32205769912916915
5,A: Base,2040,$75k-$100k,Non-Latinx White,0.71657956931632,0.7762673952577774,0.5558490434230976
0,A: Base,2040,$100k-$125k,Total,0.6086363731047041,0.7078983841611568,0.39491010840726853
1,A: Base,2040,$100k-$125k,Black,0.9420693580163786,1.0291805357434525,0.46958761250932624
2,A: Base,2040,$100k-$125k,Asian,0.5230309867105977,0.6192778063814155,0.28967515852810527
3,A: Base,2040,$100k-$125k,Latinx/Hispanic,0.5132421760111623,0.6134424052566534,0.2831061754694784
4,A: Base,2040,$100k-$125k,Indigenous,0.5436464128644669,0.5793635583584182,0.34511940506039207
5,A: Base,2040,$100k-$125k,Non-Latinx White,0.704086312264555,0.822371536350699,0.4754245925524545
0,A: Base,2040,$125k-$150k,Total,0.6702699465739949,0.7625064775028774,0.3917071082480324
1,A: Base,2040,$125k-$150k,Black,1.0555393115759744,1.1116324474847725,0.4858458198749251
2,A: Base,2040,$125k-$150k,Asian,0.628274851573865,0.709232605856885,0.3253174763196788
3,A: Base,2040,$125k-$150k,Latinx/Hispanic,0.6388663099557262,0.727632354910262,0.33151844003938774
4,A: Base,2040,$125k-$150k,Indigenous,0.6589274173230788,0.6804001278601695,0.38014479087250685
5,A: Base,2040,$125k-$150k,Non-Latinx White,0.7766793109935968,0.8904078387937404,0.46949532089719215
0,A: Base,2040,>$150k,Total,0.6665149854611611,0.8167502642774889,0.33775868657437474
1,A: Base,2040,>$150k,Black,0.9787352066381623,1.119851674466462,0.4664645186388202
2,A: Base,2040,>$150k,Asian,0.5876288448148683,0.6980276680050196,0.26219507927016733
3,A: Base,2040,>$150k,Latinx/Hispanic,0.6488395689882667,0.7948949332088057,0.3080483463146534
4,A: Base,2040,>$150k,Indigenous,0.7028874783715279,0.7428152871028738,0.3659365310547666
5,A: Base,2040,>$150k,Non-Latinx White,0.7474235836303587,0.9237846890988128,0.38725552471829966
0,A: Base,2045,<$25k,Total,0.5535332094723212,0.604435306442603,0.4614074071432385
1,A: Base,2045,<$25k,Black,0.6549941574437497,0.7323750712833522,0.5335363552074869
2,A: Base,2045,<$25k,Asian,0.41120654873539003,0.48951043974786734,0.342533102172609
3,A: Base,2045,<$25k,Latinx/Hispanic,0.32956669370533304,0.4543371253267034,0.2502573882091293
4,A: Base,2045,<$25k,Indigenous,0.31541493092484074,0.3923919942439806,0.47067401055763464
5,A: Base,2045,<$25k,Non-Latinx White,0.5599907650018863,0.5632795834798628,0.47493148694120246
0,A: Base,2045,$25k-$50k,Total,0.524347581070666,0.5020710377984826,0.39557793007722303
1,A: Base,2045,$25k-$50k,Black,0.6234432754811274,0.653580144598001,0.4198850622935959
2,A: Base,2045,$25k-$50k,Asian,0.35998999231043705,0.44426392300562767,0.25145549467702855
3,A: Base,2045,$25k-$50k,Latinx/Hispanic,0.32011716619063146,0.3746254965546272,0.2395636127675667
4,A: Base,2045,$25k-$50k,Indigenous,0.3600094720324385,0.32365056924775937,0.273714251741654
5,A: Base,2045,$25k-$50k,Non-Latinx White,0.578456739898629,0.5260277899752855,0.4502185902169323
0,A: Base,2045,$50k-$75k,Total,0.46348379248925764,0.4755205040067926,0.3674563891938627
1,A: Base,2045,$50k-$75k,Black,0.5892441272217331,0.6339600320396713,0.3479856621941566
2,A: Base,2045,$50k-$75k,Asian,0.32671489764572226,0.4079432482474077,0.21755720009577387
3,A: Base,2045,$50k-$75k,Latinx/Hispanic,0.3005679017277189,0.3571392110408901,0.20504693418476136
4,A: Base,2045,$50k-$75k,Indigenous,0.3415952216824121,0.3319475235742366,0.2585418850385195
5,A: Base,2045,$50k-$75k,Non-Latinx White,0.5278374177051556,0.5299027816238642,0.43782188783944187
0,A: Base,2045,$75k-$100k,Total,0.3945671294179641,0.45802014379041217,0.29481636457105165
1,A: Base,2045,$75k-$100k,Black,0.5568866572631425,0.634213580952563,0.28345570972276746
2,A: Base,2045,$75k-$100k,Asian,0.3070994535956035,0.3881733317403151,0.18765936522371915
3,A: Base,2045,$75k-$100k,Latinx/Hispanic,0.3016976365896745,0.3782411164421198,0.18816396854938516
4,A: Base,2045,$75k-$100k,Indigenous,0.2998563108248837,0.3236329038031089,0.22051320206912528
5,A: Base,2045,$75k-$100k,Non-Latinx White,0.4607973719658151,0.5316863100953376,0.36197511724710063
0,A: Base,2045,$100k-$125k,Total,0.38792674805707006,0.48201934344642955,0.25153022314272666
1,A: Base,2045,$100k-$125k,Black,0.5724731337117661,0.669785263456562,0.2583106409974483
2,A: Base,2045,$100k-$125k,Asian,0.3299884238323337,0.4197251346476966,0.17856141086355015
3,A: Base,2045,$100k-$125k,Latinx/Hispanic,0.32856130451426235,0.42327035311989525,0.1757032208320029
4,A: Base,2045,$100k-$125k,Indigenous,0.3557331838755157,0.401881601769802,0.22539544077347387
5,A: Base,2045,$100k-$125k,Non-Latinx White,0.451145756645686,0.5622647600097942,0.30664028411014094
0,A: Base,2045,$125k-$150k,Total,0.4213281666383746,0.5139041375813158,0.24429158750565777
1,A: Base,2045,$125k-$150k,Black,0.6293593183192336,0.7094705846825347,0.2572918589937289
2,A: Base,2045,$125k-$150k,Asian,0.39426208825866266,0.4789924277641155,0.19930130316503053
3,A: Base,2045,$125k-$150k,Latinx/Hispanic,0.4008927804964821,0.49339694497905234,0.19510453163742425
4,A: Base,2045,$125k-$150k,Indigenous,0.42200008849215764,0.46304766127641694,0.23650213947565626
5,A: Base,2045,$125k-$150k,Non-Latinx White,0.4903625909660797,0.6022789790132708,0.29633699090709614
0,A: Base,2045,>$150k,Total,0.4163128242024156,0.5463702547804384,0.1976749653528219
1,A: Base,2045,>$150k,Black,0.5921088847715811,0.7290490951250802,0.24393794800603438
2,A: Base,2045,>$150k,Asian,0.3630893579249409,0.4640647896976181,0.14522917332698904
3,A: Base,2045,>$150k,Latinx/Hispanic,0.40504360149276714,0.5339101664468722,0.17439584525439164
4,A: Base,2045,>$150k,Indigenous,0.44935067524176703,0.4989403688463519,0.21827858011412277
5,A: Base,2045,>$150k,Non-Latinx White,0.46834619572640956,0.619372478959048,0.22936052962504053
0,A: Base,2050,<$25k,Total,0.3554777744265361,0.409735276965206,0.29820689174519915
1,A: Base,2050,<$25k,Black,0.4171062484209709,0.49330167717130957,0.33926471758780147
2,A: Base,2050,<$25k,Asian,0.2661972063389639,0.33253293372094533,0.22743596288701592
3,A: Base,2050,<$25k,Latinx/Hispanic,0.22219114125341904,0.32211843454842887,0.18599863079984122
4,A: Base,2050,<$25k,Indigenous,0.2195499649857255,0.2943634171301853,0.3797982884528145
5,A: Base,2050,<$25k,Non-Latinx White,0.3622686714135062,0.38271206219453363,0.3050470608989743
0,A: Base,2050,$25k-$50k,Total,0.3417381459015269,0.3448702192114436,0.2562373551612573
1,A: Base,2050,$25k-$50k,Black,0.3978719975347352,0.4432670233922875,0.27203099618750176
2,A: Base,2050,$25k-$50k,Asian,0.2295946612291994,0.30327362549377174,0.1709210498513745
3,A: Base,2050,$25k-$50k,Latinx/Hispanic,0.22996968106851948,0.2796895212962775,0.18500193172446588
4,A: Base,2050,$25k-$50k,Indigenous,0.2564145799777099,0.23987527484213036,0.20458134841780715
5,A: Base,2050,$25k-$50k,Non-Latinx White,0.3767425938847735,0.3602414372364155,0.28724218564148035
0,A: Base,2050,$50k-$75k,Total,0.30238333793066785,0.3247361342264646,0.24173340258552997
1,A: Base,2050,$50k-$75k,Black,0.374934573347995,0.42676596563703345,0.22831015938412227
2,A: Base,2050,$50k-$75k,Asian,0.21043113915083836,0.27868818140151064,0.15031156249305935
3,A: Base,2050,$50k-$75k,Latinx/Hispanic,0.21302396745641103,0.262293665840122,0.15740809971859204
4,A: Base,2050,$50k-$75k,Indigenous,0.2445932613762934,0.24379841644800912,0.19001859371641028
5,A: Base,2050,$50k-$75k,Non-Latinx White,0.3443906549265865,0.36128003471209347,0.2858516358159043
0,A: Base,2050,$75k-$100k,Total,0.2555947808997977,0.3119729497772474,0.20243526459243075
1,A: Base,2050,$75k-$100k,Black,0.3501525964087117,0.420894896743203,0.1852297141102625
2,A: Base,2050,$75k-$100k,Asian,0.19572648141497742,0.26222896498706366,0.1276047800776891
3,A: Base,2050,$75k-$100k,Latinx/Hispanic,0.2091788069322207,0.272934160992339,0.14595176809795893
4,A: Base,2050,$75k-$100k,Indigenous,0.2110343952797863,0.234226987646304,0.16548208003057938
5,A: Base,2050,$75k-$100k,Non-Latinx White,0.2990056766644557,0.3625650912423449,0.24855425851280602
0,A: Base,2050,$100k-$125k,Total,0.2462107981278985,0.3237722325763796,0.17261433465702364
1,A: Base,2050,$100k-$125k,Black,0.35931646792067334,0.442544594638562,0.1684343564709663
2,A: Base,2050,$100k-$125k,Asian,0.2067017771345925,0.28031006221406773,0.12068107402256051
